timestamp,elapsed_s,x_cm,y_cm,theta_deg,distance_cm,v_left,v_right,v_linear,omega,angle_error_deg,fx_repulsive,fy_repulsive,num_obstacles,potential_type
2025-11-11 17:41:35.262,0.288,0.00,0.00,89.90,169.71,12.00,4.00,8.00,-0.340,-45.00,0.00,0.00,0,conic
2025-11-11 17:41:35.915,0.942,0.00,0.00,89.90,169.71,12.00,4.00,8.00,-0.340,-45.00,0.00,0.00,0,conic
2025-11-11 17:41:36.264,1.291,0.00,1.60,86.10,168.58,12.00,4.00,8.00,-0.340,-41.59,0.00,0.00,0,conic
2025-11-11 17:41:36.760,1.787,0.20,5.00,77.60,166.07,12.00,4.00,8.00,-0.340,-33.87,0.00,0.00,0,conic
2025-11-11 17:41:37.384,2.410,1.60,9.80,64.80,161.76,12.00,4.00,8.00,-0.340,-21.96,-0.12,0.00,1,conic
2025-11-11 17:41:37.839,2.866,3.00,12.40,56.90,158.97,12.00,4.00,8.00,-0.340,-14.40,0.00,0.00,0,conic
2025-11-11 17:41:38.365,3.391,5.20,15.50,47.30,155.25,9.57,6.43,8.00,-0.133,-5.10,0.00,0.00,0,conic
2025-11-11 17:41:38.964,3.991,8.90,18.90,34.70,150.23,5.70,10.30,8.00,0.196,7.49,0.00,0.00,0,conic
2025-11-11 17:41:39.414,4.440,11.80,20.70,31.20,146.87,4.55,11.45,8.00,0.294,11.23,0.00,0.00,0,conic
2025-11-11 17:41:39.763,4.790,14.70,22.60,35.00,143.45,5.65,10.35,8.00,0.200,7.65,0.00,0.00,0,conic
2025-11-11 17:41:40.308,5.335,17.40,24.70,42.00,140.04,7.76,8.24,8.00,0.020,0.77,0.00,0.00,0,conic
2025-11-11 17:41:40.758,5.785,20.10,27.50,47.60,136.16,4.00,12.00,8.00,0.340,105.16,-2859.57,907.11,1,conic
2025-11-11 17:41:41.253,6.279,22.70,30.50,48.90,132.22,9.97,6.03,8.00,-0.168,-6.42,0.00,0.00,0,conic
2025-11-11 17:41:42.023,7.050,26.10,35.30,60.40,126.47,12.00,4.00,8.00,-0.340,-18.48,0.00,0.00,0,conic
2025-11-11 17:41:42.384,7.411,27.70,37.80,56.50,123.61,12.00,4.00,8.00,-0.340,-14.95,0.00,0.00,0,conic
2025-11-11 17:41:42.837,7.863,29.60,40.30,49.60,120.54,10.57,5.43,8.00,-0.218,-8.34,0.00,0.00,0,conic
2025-11-11 17:41:43.328,8.355,32.20,42.90,39.80,116.87,8.08,8.91,8.50,0.035,1.34,0.00,0.00,0,conic
2025-11-11 17:41:43.781,8.808,34.90,45.00,34.10,113.45,6.73,11.13,8.93,0.187,7.14,0.00,0.00,0,conic
2025-11-11 17:41:44.137,9.164,37.60,46.90,34.00,110.17,7.14,11.70,9.42,0.194,7.42,0.00,0.00,0,conic
2025-11-11 17:41:44.712,9.739,41.30,49.80,39.40,106.76,8.80,11.16,9.98,0.100,3.84,0.00,0.00,0,conic
2025-11-11 17:41:45.214,10.240,44.90,53.30,45.70,100.46,11.78,9.16,10.47,-0.111,-4.26,0.00,0.00,0,conic
