timestamp,elapsed_s,x_cm,y_cm,theta_deg,distance_cm,v_left,v_right,v_linear,omega,angle_error_deg,fx_repulsive,fy_repulsive,num_obstacles,potential_type
2025-11-25 13:04:39.447,0.316,0.00,0.00,89.90,65.00,0.01,0.39,0.20,0.016,112.62,0.00,0.00,0,linear
2025-11-25 13:04:40.077,0.947,0.00,0.00,89.90,65.00,0.02,0.78,0.40,0.032,112.62,0.00,0.00,0,linear
2025-11-25 13:04:40.573,1.443,0.00,0.50,92.60,65.19,0.01,0.57,0.29,0.024,158.23,-24.70,5.05,1,linear
2025-11-25 13:04:41.794,2.664,-0.10,2.30,101.70,65.82,0.04,1.56,0.80,0.065,102.70,0.00,0.00,0,linear
2025-11-25 13:04:42.283,3.152,-0.30,3.00,105.10,65.94,0.05,1.95,1.00,0.081,99.93,0.00,0.00,0,linear
2025-11-25 13:04:42.820,3.690,-0.50,3.80,108.90,66.10,0.06,2.34,1.20,0.097,96.83,0.00,0.00,0,linear
2025-11-25 13:04:43.188,4.058,-0.60,4.30,111.80,66.23,0.07,2.73,1.40,0.113,94.36,0.00,0.00,0,linear
2025-11-25 13:04:43.532,4.401,-0.80,4.70,114.20,66.22,0.08,3.12,1.60,0.129,92.34,0.00,0.00,0,linear
2025-11-25 13:04:44.010,4.880,-1.10,5.40,117.80,66.23,0.09,3.51,1.80,0.146,90.02,0.00,0.00,0,linear
2025-11-25 13:04:44.543,5.412,-1.50,6.10,121.50,66.24,0.10,3.90,2.00,0.162,86.40,0.00,0.00,0,linear
2025-11-25 13:04:44.893,5.763,-1.80,6.60,124.50,66.21,0.11,4.29,2.20,0.178,83.90,0.00,0.00,0,linear
2025-11-25 13:04:45.253,6.122,-2.10,7.10,127.70,66.19,0.12,4.68,2.40,0.194,81.21,0.00,0.00,0,linear
2025-11-25 13:04:45.746,6.615,-2.70,7.80,132.10,66.01,0.13,5.07,2.60,0.210,77.59,0.00,0.00,0,linear
2025-11-25 13:04:46.185,7.055,-3.40,8.50,137.00,65.76,2.68,0.07,1.37,-0.111,-169.01,-4.87,-11.53,1,linear
2025-11-25 13:04:47.501,8.370,-5.90,10.50,152.30,64.69,0.07,2.87,1.47,0.119,175.14,-11.36,-26.50,2,linear
