timestamp,elapsed_s,x_cm,y_cm,theta_deg,distance_cm,v_left,v_right,v_linear,omega,angle_error_deg,fx_repulsive,fy_repulsive,num_obstacles,potential_type
2025-10-28 17:27:13.200,0.151,0.00,0.00,89.90,500.00,0.23,0.27,0.25,0.002,0.10,0.00,0.00,0,conic
2025-10-28 17:27:13.455,0.406,0.00,0.00,89.90,500.00,0.48,0.52,0.50,0.002,0.10,0.00,0.00,0,conic
2025-10-28 17:27:13.650,0.601,0.00,0.20,90.00,499.80,0.75,0.75,0.75,0.000,0.00,0.00,0.00,0,conic
2025-10-28 17:27:13.831,0.782,0.00,0.90,90.20,499.10,1.05,0.95,1.00,-0.004,-0.20,0.00,0.00,0,conic
2025-10-28 17:27:14.008,0.958,0.00,1.40,90.00,498.60,1.25,1.25,1.25,0.000,0.00,0.00,0.00,0,conic
2025-10-28 17:27:14.248,1.199,0.00,1.90,90.00,498.10,1.50,1.50,1.50,0.000,0.00,0.00,0.00,0,conic
2025-10-28 17:27:14.697,1.648,0.00,3.00,90.40,497.00,1.85,1.65,1.75,-0.008,-0.40,0.00,0.00,0,conic
2025-10-28 17:27:15.150,2.101,0.00,4.40,90.10,495.60,2.02,1.98,2.00,-0.002,-0.10,0.00,0.00,0,conic
2025-10-28 17:27:15.421,2.372,0.00,5.30,90.10,494.70,2.27,2.23,2.25,-0.002,-0.10,0.00,0.00,0,conic
2025-10-28 17:27:15.689,2.640,0.00,5.90,90.10,494.10,2.52,2.48,2.50,-0.002,-0.10,0.00,0.00,0,conic
2025-10-28 17:27:16.137,3.088,0.00,6.90,90.10,493.10,2.77,2.73,2.75,-0.002,-0.10,0.00,0.00,0,conic
2025-10-28 17:27:16.581,3.532,0.00,8.50,90.00,491.50,3.00,3.00,3.00,0.000,0.00,0.00,0.00,0,conic
2025-10-28 17:27:16.850,3.801,0.00,9.50,90.00,490.50,3.25,3.25,3.25,0.000,0.00,0.00,0.00,0,conic
2025-10-28 17:27:17.131,4.081,0.00,10.20,90.00,489.80,3.50,3.50,3.50,0.000,0.00,0.00,0.00,0,conic
2025-10-28 17:27:17.626,4.577,0.00,11.30,89.90,488.70,3.73,3.77,3.75,0.002,0.10,0.00,0.00,0,conic
2025-10-28 17:27:18.019,4.969,0.00,12.90,89.90,487.10,3.98,4.02,4.00,0.002,0.10,0.00,0.00,0,conic
2025-10-28 17:27:18.304,5.255,0.00,14.00,89.90,486.00,4.23,4.27,4.25,0.002,0.10,0.00,0.00,0,conic
2025-10-28 17:27:18.559,5.510,0.00,15.00,90.00,485.00,4.50,4.50,4.50,0.000,0.00,0.00,0.00,0,conic
2025-10-28 17:27:19.057,6.008,0.00,16.40,90.10,483.60,4.77,4.73,4.75,-0.002,-0.10,0.00,0.00,0,conic
2025-10-28 17:27:19.470,6.421,0.00,18.90,90.20,481.10,5.05,4.95,5.00,-0.004,-0.20,0.00,0.00,0,conic
2025-10-28 17:27:19.728,6.679,0.00,20.00,90.20,480.00,5.30,5.20,5.25,-0.004,-0.20,0.00,0.00,0,conic
2025-10-28 17:27:19.997,6.948,0.00,21.40,90.20,478.60,5.55,5.45,5.50,-0.004,-0.20,0.00,0.00,0,conic
2025-10-28 17:27:20.371,7.322,0.00,23.20,90.20,477.30,5.80,5.70,5.75,-0.004,-0.20,0.00,0.00,0,conic
2025-10-28 17:27:20.905,7.856,-0.10,25.80,90.20,474.20,6.05,5.95,6.00,-0.004,-0.21,0.00,0.00,0,conic
2025-10-28 17:27:21.222,8.173,-0.10,27.80,90.20,472.20,6.30,6.20,6.25,-0.004,-0.21,0.00,0.00,0,conic
2025-10-28 17:27:21.495,8.446,-0.10,29.30,90.20,470.70,6.55,6.45,6.50,-0.004,-0.21,0.00,0.00,0,conic
2025-10-28 17:27:21.855,8.806,-0.10,31.50,90.20,469.10,6.80,6.70,6.75,-0.004,-0.21,0.00,0.00,0,conic
2025-10-28 17:27:22.300,9.251,-0.10,34.40,90.10,465.60,7.03,6.97,7.00,-0.002,-0.11,0.00,0.00,0,conic
2025-10-28 17:27:22.620,9.571,-0.10,36.40,90.10,463.60,7.28,7.22,7.25,-0.002,-0.11,0.00,0.00,0,conic
2025-10-28 17:27:22.892,9.843,-0.10,38.00,90.10,462.00,7.53,7.47,7.50,-0.002,-0.11,0.00,0.00,0,conic
2025-10-28 17:27:23.197,10.148,-0.20,40.10,90.10,459.90,7.78,7.72,7.75,-0.003,-0.12,0.00,0.00,0,conic
2025-10-28 17:27:23.791,10.742,-0.20,43.70,90.20,456.30,8.06,7.94,8.00,-0.005,-0.23,0.00,0.00,0,conic
2025-10-28 17:27:24.104,11.055,-0.20,46.60,90.10,453.40,8.28,8.22,8.25,-0.003,-0.13,0.00,0.00,0,conic
2025-10-28 17:27:24.408,11.359,-0.30,49.00,90.00,451.00,8.51,8.49,8.50,-0.001,-0.04,0.00,0.00,0,conic
