ts,x,y,theta,cmd_vl,cmd_vr,acc_rms,ir_max,bumps,batt
2025-10-23T17:58:54,0.0,0.0,89.9,0.0,0.0,0.0,432,0,"(16299, 100)"
2025-10-23T17:58:54,0.0,0.0,89.9,0.0,0.0,0.0,429,0,"(16299, 100)"
2025-10-23T17:58:55,0.0,0.0,89.9,0.0,0.0,0.0,440,0,"(16299, 100)"
2025-10-23T17:58:56,0.0,0.0,89.9,0.0,0.0,0.0,438,0,"(16299, 100)"
2025-10-23T17:58:56,0.0,0.0,89.9,0.0,0.0,0.0,439,0,"(16299, 100)"
2025-10-23T17:58:57,0.0,0.0,89.9,0.0,0.0,0.0,439,0,"(16299, 100)"
2025-10-23T17:58:58,0.0,0.0,89.9,0.0,0.0,0.0,431,0,"(16299, 100)"
2025-10-23T17:58:59,0.0,0.0,89.9,0.0,0.0,0.0,438,0,"(16299, 100)"
2025-10-23T17:58:59,0.0,0.0,89.9,0.0,0.0,0.0,438,0,"(16299, 100)"
2025-10-23T17:59:00,0.0,0.0,89.9,0.0,0.0,0.0,440,0,"(16299, 100)"
2025-10-23T17:59:01,0.0,0.0,89.9,0.0,0.0,0.0,433,0,"(16299, 100)"
2025-10-23T17:59:02,0.0,0.0,89.9,0.0,0.0,0.0,433,0,"(16299, 100)"
2025-10-23T17:59:03,0.0,0.0,89.9,0.0,0.0,0.0,438,0,"(16299, 100)"
2025-10-23T17:59:03,0.0,0.0,89.9,0.0,0.0,0.0,439,0,"(16299, 100)"
2025-10-23T17:59:04,0.0,0.0,89.9,0.0,0.0,0.0,439,0,"(16299, 100)"
2025-10-23T17:59:05,0.0,0.0,89.9,0.0,0.0,0.0,437,0,"(16299, 100)"
2025-10-23T17:59:06,0.0,0.0,89.9,0.0,0.0,0.0,438,0,"(16299, 100)"
2025-10-23T17:59:06,0.0,-0.3,89.9,0.0,0.0,0.0,628,0,"(16299, 100)"
2025-10-23T17:59:07,0.0,-3.1,90.1,0.0,0.0,0.0,370,0,"(16299, 100)"
2025-10-23T17:59:08,0.0,-6.4,89.8,0.0,0.0,0.0,210,0,"(16299, 100)"
2025-10-23T17:59:08,0.0,-9.8,89.8,0.0,0.0,0.0,149,0,"(16299, 100)"
2025-10-23T17:59:09,0.0,-12.7,89.7,0.0,0.0,0.0,120,0,"(16237, 100)"
2025-10-23T17:59:10,0.0,-16.1,89.7,0.0,0.0,0.0,101,0,"(16237, 100)"
2025-10-23T17:59:10,0.0,-19.0,89.7,0.0,0.0,0.0,94,0,"(16237, 100)"
2025-10-23T17:59:11,0.0,-22.1,89.9,0.0,0.0,0.0,85,0,"(16237, 100)"
2025-10-23T17:59:11,0.0,-24.9,90.0,0.0,0.0,0.0,72,0,"(16233, 100)"
2025-10-23T17:59:12,0.0,-28.0,90.0,0.0,0.0,0.0,75,0,"(16233, 100)"
2025-10-23T17:59:13,0.0,-29.1,83.5,0.0,0.0,0.0,71,0,"(16233, 100)"
2025-10-23T17:59:13,-0.4,-28.8,14.9,0.0,0.0,0.0,43,0,"(16233, 100)"
2025-10-23T17:59:14,-0.3,-27.6,305.0,0.0,0.0,0.0,18,0,"(16221, 100)"
2025-10-23T17:59:15,0.0,0.0,89.9,0.0,0.0,0.0,21,0,"(16221, 100)"
2025-10-23T17:59:15,0.0,0.0,89.9,0.0,0.0,0.0,21,0,"(16221, 100)"
2025-10-23T17:59:17,0.0,0.0,89.9,0.0,0.0,0.0,20,0,"(16221, 100)"
2025-10-23T17:59:18,0.0,0.0,89.9,6.158963886061056,9.841036113938944,0.0,22,0,"(16221, 100)"
2025-10-23T17:59:19,-0.3,5.3,96.1,6.318534064754687,9.681465935245313,0.0,23,0,"(16221, 100)"
2025-10-23T17:59:20,-2.3,13.9,106.4,6.491023934452061,9.50897606554794,0.0,21,0,"(16221, 100)"
2025-10-23T17:59:21,-5.5,21.5,114.7,6.741796530300281,9.258203469699719,0.0,19,0,"(16221, 100)"
2025-10-23T17:59:22,-9.8,28.9,121.9,6.846837794504848,9.153162205495152,0.0,18,0,"(16221, 100)"
2025-10-23T17:59:23,-14.8,35.7,128.1,7.025091409823516,8.974908590176485,0.0,22,0,"(16221, 100)"
2025-10-23T17:59:24,-20.7,42.2,133.7,7.100063001349723,8.899936998650277,0.0,22,0,"(16221, 100)"
2025-10-23T17:59:25,-27.2,48.2,138.4,7.218151329714197,8.781848670285802,0.0,21,0,"(16221, 100)"
2025-10-23T17:59:27,-34.4,53.8,143.2,7.284635275194105,8.715364724805895,0.0,20,0,"(16221, 100)"
2025-10-23T17:59:28,-41.0,58.3,146.6,7.366096935961725,8.633903064038275,0.0,21,0,"(16221, 100)"
2025-10-23T17:59:29,-48.3,62.5,150.1,7.415545465523968,8.584454534476032,0.0,22,0,"(16221, 100)"
2025-10-23T17:59:30,-56.5,66.6,153.5,7.480940049621415,8.519059950378585,0.0,20,0,"(16221, 100)"
2025-10-23T17:59:31,-64.0,70.1,155.8,7.494864845608668,8.505135154391331,0.0,34,0,"(16221, 100)"
2025-10-23T17:59:32,-71.5,73.1,158.2,7.523279980790367,8.476720019209633,0.0,340,0,"(16221, 100)"
2025-10-23T17:59:33,-78.9,75.8,160.6,0.0,0.0,0.0,1782,0,"(16221, 100)"
2025-10-23T17:59:34,-82.0,76.8,162.4,0.0,0.0,0.0,2056,0,"(16221, 100)"
2025-10-23T17:59:35,-81.9,77.4,182.0,2.0,10.0,0.0,2024,0,"(16221, 100)"
2025-10-23T17:59:36,-82.5,77.4,184.4,2.0,10.0,0.0,1321,0,"(16221, 100)"
2025-10-23T17:59:37,-91.1,75.1,213.5,2.0,10.0,0.0,36,0,"(16221, 100)"
2025-10-23T17:59:38,-97.6,68.0,245.5,2.0,2.1999999999999993,0.0,48,0,"(16221, 100)"
2025-10-23T17:59:39,-99.2,62.7,259.6,3.8705936483833185,8.129406351616682,0.0,54,0,"(16221, 100)"
2025-10-23T17:59:40,-99.7,58.1,265.3,5.00972794797226,6.99027205202774,0.0,61,0,"(16221, 100)"
2025-10-23T17:59:41,-99.5,52.0,272.6,5.443025886702246,6.556974113297754,0.0,80,0,"(16221, 100)"
2025-10-23T17:59:42,-98.6,46.4,276.3,2.0,2.1999999999999993,0.0,93,0,"(16221, 100)"
2025-10-23T17:59:44,-98.1,42.4,276.3,4.8940245968067595,7.1059754031932405,0.0,1378,1,"(16221, 100)"
2025-10-23T17:59:45,-97.9,39.8,275.9,4.301215741956327,7.698784258043673,0.0,1168,1,"(16152, 100)"
2025-10-23T17:59:46,-97.8,39.8,275.5,2.0,2.1999999999999993,0.0,765,1,"(16152, 100)"
2025-10-23T17:59:47,-97.7,38.2,275.5,2.0,10.0,0.0,3630,1,"(16152, 100)"
2025-10-23T18:00:03,-98.5,34.9,280.0,2.1999999999999993,2.0,0.0,,1,"(0, 0)"
